Date,Children apprehended,Children in CBP custody,Children transferred,Children in HHS Care,Children discharged,HHS_Care_Lag_1,HHS_Care_Lag_7,HHS_Care_Lag_14,HHS_Care_Rolling_7,HHS_Care_Rolling_14,Net_Pressure
2023-02-09,124,234,161,7908,353,7915.0,7803.0,6566.0,7823.714285714285,7654.071428571428,-192
2023-02-12,92,203,173,7434,317,7908.0,7903.0,7122.0,7756.714285714285,7676.357142857143,-144
2023-02-13,186,259,172,7483,244,7434.0,7879.0,7280.0,7700.142857142857,7690.857142857143,-72
2023-02-14,154,225,220,7794,223,7483.0,7586.0,7433.0,7729.857142857143,7716.642857142857,-3
2023-02-15,91,199,172,7869,290,7794.0,7720.0,7538.0,7751.142857142857,7740.285714285715,-118
2023-02-16,81,213,153,7793,361,7869.0,7855.0,7472.0,7742.285714285715,7763.214285714285,-208
2023-02-20,209,285,184,7817,209,7793.0,7915.0,7743.0,7728.285714285715,7768.5,-25
2023-02-21,184,314,217,7967,213,7817.0,7908.0,7803.0,7736.714285714285,7780.214285714285,4
2023-02-22,107,215,230,7978,232,7967.0,7434.0,7903.0,7814.428571428572,7785.571428571428,-2
2023-02-23,101,162,178,7914,386,7978.0,7483.0,7879.0,7876.0,7788.071428571428,-208
2023-02-26,99,190,176,7609,323,7914.0,7794.0,7586.0,7849.571428571428,7789.714285714285,-147
2023-02-27,167,239,166,7800,248,7609.0,7869.0,7720.0,7839.714285714285,7795.428571428572,-82
2023-02-28,115,216,169,7896,200,7800.0,7793.0,7855.0,7854.428571428572,7798.357142857143,-31
2023-03-01,84,158,193,7930,307,7896.0,7817.0,7915.0,7870.571428571428,7799.428571428572,-114
2023-03-02,130,227,192,7870,335,7930.0,7967.0,7908.0,7856.714285714285,7796.714285714285,-143
2023-03-07,88,214,160,7859,259,7870.0,7978.0,7434.0,7839.714285714285,7827.071428571428,-99
2023-03-08,113,208,159,7885,291,7859.0,7914.0,7483.0,7835.571428571428,7855.785714285715,-132
2023-03-09,174,285,150,7786,340,7885.0,7609.0,7794.0,7860.857142857143,7855.214285714285,-190
2023-03-13,104,230,206,7567,249,7786.0,7800.0,7869.0,7827.571428571428,7833.642857142857,-43
2023-03-14,147,276,214,7810,181,7567.0,7896.0,7793.0,7815.285714285715,7834.857142857143,33
2023-03-15,108,220,213,7915,286,7810.0,7930.0,7817.0,7813.142857142857,7841.857142857143,-73
2023-03-16,180,280,146,7989,308,7915.0,7870.0,7967.0,7830.142857142857,7843.428571428572,-162
2023-03-19,134,294,186,7885,306,7989.0,7859.0,7978.0,7833.857142857143,7836.785714285715,-120
2023-03-20,202,313,158,7931,279,7885.0,7885.0,7914.0,7840.428571428572,7838.0,-121
2023-03-21,110,272,193,8050,221,7931.0,7786.0,7609.0,7878.142857142857,7869.5,-28
2023-03-22,166,277,229,8097,246,8050.0,7567.0,7800.0,7953.857142857143,7890.714285714285,-17
2023-03-23,136,276,178,8102,331,8097.0,7810.0,7896.0,7995.571428571428,7905.428571428572,-153
2023-03-26,87,246,173,7847,352,8102.0,7915.0,7930.0,7985.857142857143,7899.5,-179
2023-03-27,84,171,157,7994,235,7847.0,7989.0,7870.0,7986.571428571428,7908.357142857143,-78
2023-03-28,167,209,157,8079,223,7994.0,7885.0,7859.0,8014.285714285715,7924.071428571428,-66
2023-03-29,109,245,159,8208,267,8079.0,7931.0,7885.0,8053.857142857143,7947.142857142857,-108
2023-03-30,156,256,176,8158,359,8208.0,8050.0,7786.0,8069.285714285715,7973.714285714285,-183
2023-04-02,125,232,192,7981,304,8158.0,8097.0,7567.0,8052.714285714285,8003.285714285715,-112
2023-04-03,118,139,168,8054,284,7981.0,8102.0,7810.0,8045.857142857143,8020.714285714285,-116
2023-04-04,142,235,139,8068,259,8054.0,7847.0,7915.0,8077.428571428572,8031.642857142857,-120
2023-04-05,148,245,175,8175,260,8068.0,7994.0,7989.0,8103.285714285715,8044.928571428572,-85
2023-04-06,119,219,210,8178,284,8175.0,8079.0,7885.0,8117.428571428572,8065.857142857143,-74
2023-04-09,105,210,149,7900,329,8178.0,8208.0,7931.0,8073.428571428572,8063.642857142857,-180
2023-04-10,143,203,163,7826,265,7900.0,8158.0,8050.0,8026.0,8047.642857142857,-102
2023-04-11,119,209,152,7922,187,7826.0,7981.0,8097.0,8017.571428571428,8035.142857142857,-35
2023-04-12,155,212,181,7876,283,7922.0,8054.0,8102.0,7992.142857142857,8019.0,-102
2023-04-13,109,214,173,7795,370,7876.0,8068.0,7847.0,7953.142857142857,8015.285714285715,-197
2023-04-16,191,283,192,7380,272,7795.0,8175.0,7994.0,7839.571428571428,7971.428571428572,-80
2023-04-17,170,297,196,7344,248,7380.0,8178.0,8079.0,7720.428571428572,7918.928571428572,-52
2023-04-18,152,272,214,7376,234,7344.0,7900.0,8208.0,7645.571428571428,7859.5,-20
2023-04-19,239,367,224,7356,229,7376.0,7826.0,8158.0,7578.428571428572,7802.214285714285,-5
2023-04-20,113,280,237,7490,320,7356.0,7922.0,7981.0,7516.714285714285,7767.142857142857,-83
2023-04-23,196,306,187,7534,266,7490.0,7876.0,8054.0,7467.857142857143,7730.0,-79
2023-04-24,236,330,222,7796,213,7534.0,7795.0,8068.0,7468.0,7710.571428571428,9
2023-04-25,81,230,242,8017,202,7796.0,7380.0,8175.0,7559.0,7699.285714285715,40
2023-04-26,118,245,160,8117,256,8017.0,7344.0,8178.0,7669.428571428572,7694.928571428572,-96
2023-04-27,218,283,208,8159,310,8117.0,7376.0,7900.0,7781.285714285715,7713.428571428572,-102
2023-04-30,132,243,183,8352,293,8159.0,7356.0,7826.0,7923.571428571428,7751.0,-110
2023-05-01,224,315,152,8492,237,8352.0,7490.0,7922.0,8066.714285714285,7791.714285714285,-85
2023-05-02,167,326,213,8654,245,8492.0,7534.0,7876.0,8226.714285714286,7847.285714285715,-32
2023-05-03,209,353,232,8704,267,8654.0,7796.0,7795.0,8356.42857142857,7912.214285714285,-35
2023-05-04,153,253,286,8790,332,8704.0,8017.0,7380.0,8466.857142857143,8012.928571428572,-46
2023-05-07,180,337,219,8485,375,8790.0,8117.0,7344.0,8519.42857142857,8094.428571428572,-156
2023-05-08,133,287,189,8590,261,8485.0,8159.0,7376.0,8581.0,8181.142857142857,-72
2023-05-09,187,310,247,8606,250,8590.0,8352.0,7356.0,8617.285714285714,8270.42857142857,-3
2023-05-10,168,285,210,8681,304,8606.0,8492.0,7490.0,8644.285714285714,8355.5,-94
2023-05-11,269,412,204,8672,392,8681.0,8654.0,7534.0,8646.857142857143,8436.785714285714,-188
2023-05-14,100,255,236,8445,288,8672.0,8704.0,7796.0,8609.857142857143,8483.142857142857,-52
2023-05-15,205,294,177,8571,277,8445.0,8790.0,8017.0,8578.57142857143,8522.714285714286,-100
2023-05-16,161,304,211,8572,272,8571.0,8485.0,8117.0,8591.0,8555.214285714286,-61
2023-05-17,57,162,193,8569,307,8572.0,8590.0,8159.0,8588.0,8584.5,-114
2023-05-18,80,122,152,8474,351,8569.0,8606.0,8352.0,8569.142857142857,8593.214285714286,-199
2023-05-21,107,170,133,7826,343,8474.0,8681.0,8492.0,8447.0,8545.642857142857,-210
2023-05-22,99,156,139,7848,240,7826.0,8672.0,8654.0,8329.285714285714,8488.07142857143,-101
2023-05-23,25,66,94,7788,246,7848.0,8445.0,8704.0,8235.42857142857,8422.642857142857,-152
2023-05-24,35,70,53,7709,276,7788.0,8571.0,8790.0,8112.285714285715,8345.42857142857,-223
2023-05-25,43,73,64,7546,408,7709.0,8572.0,8485.0,7965.714285714285,8278.357142857143,-344
2023-05-29,41,60,71,6996,207,7546.0,8569.0,8590.0,7741.0,8164.5,-136
2023-05-30,65,83,65,7046,168,6996.0,8474.0,8606.0,7537.0,8053.071428571428,-103
2023-05-31,38,80,82,7053,210,7046.0,7826.0,8681.0,7426.571428571428,7936.785714285715,-128
2023-06-01,56,82,68,7002,287,7053.0,7848.0,8672.0,7305.714285714285,7817.5,-219
2023-06-04,74,103,80,6555,292,7002.0,7788.0,8445.0,7129.571428571428,7682.5,-212
2023-06-05,68,107,102,6523,189,6555.0,7709.0,8571.0,6960.142857142857,7536.214285714285,-87
2023-06-06,92,124,93,6508,187,6523.0,7546.0,8572.0,6811.857142857143,7388.785714285715,-94
2023-06-07,113,162,107,6483,208,6508.0,6996.0,8569.0,6738.571428571428,7239.785714285715,-101
2023-06-08,106,196,131,6446,255,6483.0,7046.0,8474.0,6652.857142857143,7094.928571428572,-124
2023-06-11,86,152,168,6007,238,6446.0,7053.0,7826.0,6503.428571428572,6965.0,-70
2023-06-12,84,118,136,6021,177,6007.0,7002.0,7848.0,6363.285714285715,6834.5,-41
2023-06-13,59,64,117,6061,146,6021.0,6555.0,7788.0,6292.714285714285,6711.142857142857,-29
2023-06-14,62,97,52,6065,167,6061.0,6523.0,7709.0,6227.285714285715,6593.714285714285,-115
2023-06-15,91,75,97,6038,272,6065.0,6508.0,7546.0,6160.142857142857,6486.0,-175
2023-06-19,29,51,11,5679,142,6038.0,6483.0,6996.0,6045.285714285715,6391.928571428572,-131
2023-06-20,33,53,34,5904,134,5679.0,6446.0,7046.0,5967.857142857143,6310.357142857143,-100
2023-06-21,93,196,169,5922,149,5904.0,6007.0,7053.0,5955.714285714285,6229.571428571428,20
2023-06-22,124,234,161,5956,207,5922.0,6021.0,7002.0,5946.428571428572,6154.857142857143,-46
2023-06-25,92,203,173,5766,263,5956.0,6061.0,6555.0,5904.285714285715,6098.5,-90
2023-06-26,186,259,172,5819,174,5766.0,6065.0,6523.0,5869.142857142857,6048.214285714285,-2
2023-06-27,154,225,220,5917,155,5819.0,6038.0,6508.0,5851.857142857143,6006.0,65
2023-06-28,91,199,172,5999,174,5917.0,5679.0,6483.0,5897.571428571428,5971.428571428572,-2
2023-06-29,81,213,153,6058,213,5999.0,5904.0,6446.0,5919.571428571428,5943.714285714285,-60
